,2000,2000,,2013,2013,,
,Age 15-19,,,Age 15-19,,,2000-2013
County,Population,Deaths,Rate,Population,Deaths,Rate,Change
Adair,602,*,*,442,0,0,-100.00%
Adams,283,0,0,209,0,0,0.00%
Allamakee,"1,043",*,*,827,0,0,-100.00%
Appanoose,945,0,0,676,0,0,0.00%
Audubon,459,0,0,378,0,0,0.00%
Benton,"1,801",0,0,"1,725",*,*,*
Black Hawk,"11,096",0,0,"9,615",*,*,*
Boone,"1,936",*,*,"1,844",0,0,-100.00%
Bremer,"2,175",0,0,"2,109",0,0,0.00%
Buchanan,"1,736",*,*,"1,333",0,0,-100.00%
Buena Vista,"1,852",*,*,"1,615",0,0,-100.00%
Butler,"1,098",*,*,905,0,0,-100.00%
Calhoun,801,0,0,575,0,0,0.00%
Carroll,"1,723",*,*,"1,325",0,0,-100.00%
Cass,"1,072",*,*,776,*,*,*
Cedar,"1,366",0,0,"1,193",0,0,0.00%
Cerro Gordo,"3,526",*,*,"2,675",*,*,*
Cherokee,"1,000",0,0,675,0,0,0.00%
Chickasaw,"1,011",0,0,806,*,*,*
Clarke,688,0,0,578,0,0,0.00%
Clay,"1,224",*,*,976,*,*,*
Clayton,"1,399",*,*,"1,059",0,0,-100.00%
Clinton,"3,714",*,*,"3,128",0,0,-100.00%
Crawford,"1,421",0,0,"1,326",0,0,0.00%
Dallas,"2,816",*,*,"4,482",*,*,*
Davis,643,0,0,641,0,0,0.00%
Decatur,886,*,*,755,0,0,-100.00%
Delaware,"1,536",6,391,"1,223",0,0,-100.00%
Des Moines,"3,124",0,0,"2,512",0,0,0.00%
Dickinson,"1,020",0,0,855,0,0,0.00%
Dubuque,"7,075",*,*,"6,784",*,*,*
Emmet,"1,039",0,0,686,0,0,0.00%
Fayette,"1,701",*,*,"1,500",*,*,*
Floyd,"1,200",0,0,"1,058",0,0,0.00%
Franklin,847,0,0,659,0,0,0.00%
Fremont,557,0,0,431,0,0,0.00%
Greene,779,*,*,568,0,0,-100.00%
Grundy,893,0,0,778,0,0,0.00%
Guthrie,761,0,0,677,*,*,*
Hamilton,"1,128",*,*,975,*,*,*
Hancock,961,0,0,724,0,0,0.00%
Hardin,"1,737",0,0,"1,329",0,0,0.00%
Harrison,"1,119",*,*,953,0,0,-100.00%
Henry,"1,536",*,*,"1,416",*,*,*
Howard,741,*,*,582,*,*,*
Humboldt,832,0,0,596,*,*,*
Ida,586,0,0,446,0,0,0.00%
Iowa,"1,070",0,0,"1,114",0,0,0.00%
Jackson,"1,498",*,*,"1,301",0,0,-100.00%
Jasper,"2,442",*,*,"2,240",*,*,*
Jefferson,"1,213",0,0,873,0,0,0.00%
Johnson,"10,933",*,*,"11,524",*,*,*
Jones,"1,378",0,0,"1,182",*,*,*
Keokuk,864,*,*,620,0,0,-100.00%
,Age 15-19,,,Age 15-19,,2000-2013,
County,Population,Deaths,Rate,Population Deaths,Rate,Change,
Kossuth,"1,390",*,*,972 0,0,-100.00%,
Lee,"2,638",*,*,"2,147 0",0,-100.00%,
Linn,"13,891",7,50,"14,202 8",56,11.80%,
Louisa,874,0,0,833 0,0,0.00%,
Lucas,678,0,0,581 0,0,0.00%,
Lyon,917,*,*,748 0,0,-100.00%,
Madison,"1,031",*,*,"1,074 0",0,-100.00%,
Mahaska,"1,717",0,0,"1,540 *",*,*,
Marion,"2,591",0,0,"2,603 *",*,*,
Marshall,"2,889",0,0,"2,734 0",0,0.00%,
Mills,"1,100",*,*,"1,088 *",*,*,
Mitchell,785,0,0,729 0,0,0.00%,
Monona,671,*,*,548 0,0,-100.00%,
Monroe,558,0,0,514 *,*,*,
Montgomery,820,0,0,694 0,0,0.00%,
Muscatine,"3,102",0,0,"2,839 *",*,*,
O'Brien,"1,198",*,*,854 0,0,-100.00%,
Osceola,514,0,0,370 0,0,0.00%,
Page,"1,254",*,*,"1,050 *",*,*,
Palo Alto,914,*,*,577 *,*,*,
Plymouth,"2,101",*,*,"1,767 *",*,*,
Pocahontas,633,*,*,421 0,0,-100.00%,
Polk,"25,121",11,44,"28,844 13",45,2.90%,
Pottawattamie,"6,672",*,*,"6,263 *",*,*,
Poweshiek,"1,626",*,*,"1,582 *",*,*,
Ringgold,430,0,0,302 0,0,0.00%,
Sac,830,0,0,619 0,0,0.00%,
Scott,"11,698",*,*,"11,023 *",*,*,
Shelby,997,0,0,761 0,0,0.00%,
Sioux,"3,492",8,229,"3,021 0",0,-100.00%,
Story,"9,090",*,*,"10,059 *",*,*,
Tama,"1,354",*,*,"1,238 0",0,-100.00%,
Taylor,527,*,*,401 0,0,-100.00%,
Union,969,0,0,844 *,*,*,
Van Buren,543,*,*,438 *,*,*,
Wapello,"2,646",0,0,"2,278 0",0,0.00%,
Warren,"3,317",*,*,"3,671 0",0,-100.00%,
Washington,"1,420",0,0,"1,460 0",0,0.00%,
Wayne,469,*,*,362 0,0,-100.00%,
Webster,"3,277",*,*,"2,857 *",*,*,
Winnebago,"1,026",*,*,719 0,0,-100.00%,
Winneshiek,"2,259",*,*,"1,995 *",*,*,
Woodbury,"7,959",*,*,"7,341 *",*,*,
Worth,544,0,0,525 *,*,*,
Wright,"1,002",*,-100.0% *,766 0,0,,
State,"226,420",107,-19.3% 47,"212,508 81",38,,
Rural,"35,776",27,75,"28,916 10",35,-54.20%,
Small Urban,"87,109",47,54,"77,937 28",36,-33.40%,
Metropolitan,"103,535",33,27.7% 32,"105,655 43",41,,
United States,"20,219,890","13,563",67,"21,644,043 10,594",49,-27.00%,
