Extraction Date:,6/4/2015,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2013,Alabama,Special Education Paraprofessionals for Ages 3-5,332.58,45,377.58,-,-,-
2013,Alabama,Special Education Paraprofessionals for Ages 6-21,4169.81,412,4581.81,-,-,-
2013,Alabama,Total Special Education Paraprofessionals ,4502.39,457,4959.39,-,-,-
2013,Alabama,Special Education Teachers for Ages 3-5,308.67,13,321.67,-,-,-
2013,Alabama,Special Education Teachers for Ages 6-21,4955.42,214,5169.42,-,-,-
2013,Alabama,Total Special Education Teachers,5264.09,227,5491.09,-,-,-
2013,Alabama,Audiologists,-,-,-,10.1,0,10.1
2013,Alabama,Counselors and Rehabilitation Counselors,-,-,-,323.82,0,323.82
2013,Alabama,Interpreters,-,-,-,99.17,0,99.17
2013,Alabama,Medical / Nursing Service Staff,-,-,-,769.12,0,769.12
2013,Alabama,Occupational Therapists,-,-,-,154.9,0,154.9
2013,Alabama,Orientation and Mobility Specialists,-,-,-,22.21,0,22.21
2013,Alabama,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,297.81,0,297.81
2013,Alabama,Physical Therapists,-,-,-,88.83,0,88.83
2013,Alabama,Psychologists,-,-,-,110.05,0,110.05
2013,Alabama,Social Workers,-,-,-,66.53,0,66.53
2013,Alabama,Speech-Language Pathologists,-,-,-,831.34,0,831.34
2013,Alaska,Special Education Paraprofessionals for Ages 3-5,146.25,2,148.25,-,-,-
2013,Alaska,Special Education Paraprofessionals for Ages 6-21,1316.91,44.5,1361.41,-,-,-
2013,Alaska,Total Special Education Paraprofessionals ,1463.16,46.5,1509.66,-,-,-
2013,Alaska,Special Education Teachers for Ages 3-5,76.54,10.49,87.03,-,-,-
2013,Alaska,Special Education Teachers for Ages 6-21,900.99,149.89,1050.88,-,-,-
2013,Alaska,Total Special Education Teachers,977.53,160.38,1137.91,-,-,-
2013,Alaska,Audiologists,-,-,-,2.9,2,4.9
2013,Alaska,Counselors and Rehabilitation Counselors,-,-,-,1,1,2
2013,Alaska,Interpreters,-,-,-,12.3,0,12.3
2013,Alaska,Medical / Nursing Service Staff,-,-,-,17.73,0,17.73
2013,Alaska,Occupational Therapists,-,-,-,31.9,4,35.9
2013,Alaska,Orientation and Mobility Specialists,-,-,-,6.78,1,7.78
2013,Alaska,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,8.97,0,8.97
2013,Alaska,Physical Therapists,-,-,-,15.8,0,15.8
2013,Alaska,Psychologists,-,-,-,83.39,0,83.39
2013,Alaska,Social Workers,-,-,-,0,0,0
2013,Alaska,Speech-Language Pathologists,-,-,-,146.05,0,146.05
2013,American Samoa,Special Education Paraprofessionals for Ages 3-5,0,4,4,-,-,-
2013,American Samoa,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-
2013,American Samoa,Total Special Education Paraprofessionals ,0,4,4,-,-,-
2013,American Samoa,Special Education Teachers for Ages 3-5,2,10,12,-,-,-
2013,American Samoa,Special Education Teachers for Ages 6-21,78,94,172,-,-,-
