Extraction Date:,6/6/2016,,,,,,,,
Updated:,,,,,,,,,
Revised:,,,,,,,,,
,,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total,
2014,Alabama,Special Education Paraprofessionals for Ages 3-5,321,59,380,-,-,-,
2014,Alabama,Special Education Paraprofessionals for Ages 6-21,3993.96,455.5,4449.46,-,-,-,
2014,Alabama,Total Special Education Paraprofessionals ,4314.96,514.5,4829.46,-,-,-,
2014,Alabama,Special Education Teachers for Ages 3-5,326.45,14.5,340.95,-,-,-,
2014,Alabama,Special Education Teachers for Ages 6-21,4742.21,178,4920.21,-,-,-,
2014,Alabama,Total Special Education Teachers,5068.66,192.5,5261.16,-,-,-,
2014,Alabama,Audiologists,-,-,-,8.45,0,8.45,
2014,Alabama,Counselors and Rehabilitation Counselors,-,-,-,314.22,0,314.22,
2014,Alabama,Interpreters,-,-,-,80.54,0,80.54,
2014,Alabama,Medical / Nursing Service Staff,-,-,-,715.6,0,715.6,
2014,Alabama,Occupational Therapists,-,-,-,154.75,0,154.75,
2014,Alabama,Orientation and Mobility Specialists,-,-,-,20.35,0,20.35,
2014,Alabama,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,321.15,0,321.15,
2014,Alabama,Physical Therapists,-,-,-,89.54,0,89.54,
2014,Alabama,Psychologists,-,-,-,119.53,0,119.53,
2014,Alabama,Social Workers,-,-,-,77.5,0,77.5,
2014,Alabama,Speech-Language Pathologists,-,-,-,816.03,0,816.03,
2014,Alaska,Special Education Paraprofessionals for Ages 3-5,145.46,7.7,153.16,-,-,-,
2014,Alaska,Special Education Paraprofessionals for Ages 6-21,1343.04,49.93,1392.97,-,-,-,
2014,Alaska,Total Special Education Paraprofessionals ,1488.5,57.63,1546.13,-,-,-,
2014,Alaska,Special Education Teachers for Ages 3-5,59.46,14.99,74.45,-,-,-,
2014,Alaska,Special Education Teachers for Ages 6-21,901.46,133.37,1034.83,-,-,-,
2014,Alaska,Total Special Education Teachers,960.92,148.36,1109.28,-,-,-,
2014,Alaska,Audiologists,-,-,-,2.9,1,3.9,
2014,Alaska,Counselors and Rehabilitation Counselors,-,-,-,1,1,2,
2014,Alaska,Interpreters,-,-,-,13.95,0,13.95,
2014,Alaska,Medical / Nursing Service Staff,-,-,-,16.27,0,16.27,
2014,Alaska,Occupational Therapists,-,-,-,32.8,1,33.8,
2014,Alaska,Orientation and Mobility Specialists,-,-,-,7.78,1,8.78,
2014,Alaska,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,7.8,1.17,8.97,
2014,Alaska,Physical Therapists,-,-,-,14.7,0,14.7,
2014,Alaska,Psychologists,-,-,-,84.23,0,84.23,
2014,Alaska,Social Workers,-,-,-,0,0,0,
2014,Alaska,Speech-Language Pathologists,-,-,-,147.29,1,148.29,
2014,American Samoa,Special Education Paraprofessionals for Ages 3-5,0,4,4,-,-,-,
2014,American Samoa,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-,
2014,American Samoa,Total Special Education Paraprofessionals ,0,4,4,-,-,-,
2014,American Samoa,Special Education Teachers for Ages 3-5,2,10,12,-,-,-,
2014,American Samoa,Special Education Teachers for Ages 6-21,77,93,170,-,-,-,
2014,American Samoa,Total Special Education Teachers,79,103,182,-,-,-,
2014,American Samoa,Audiologists,-,-,-,*,*,*,*
2014,American Samoa,Counselors and Rehabilitation Counselors,-,-,-,*,*,*,*
2014,American Samoa,Interpreters,-,-,-,*,*,*,*
2014,American Samoa,Medical / Nursing Service Staff,-,-,-,*,*,*,*
2014,American Samoa,Occupational Therapists,-,-,-,*,*,*,*
2014,American Samoa,Orientation and Mobility Specialists,-,-,-,*,*,*,*
2014,American Samoa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,*,*,*,*
2014,American Samoa,Physical Therapists,-,-,-,*,*,*,*
2014,American Samoa,Psychologists,-,-,-,*,*,*,*
2014,American Samoa,Social Workers,-,-,-,*,*,*,*
2014,American Samoa,Speech-Language Pathologists,-,-,-,*,*,*,*
2014,Arizona,Special Education Paraprofessionals for Ages 3-5,1054.23,144.11,1198.34,-,-,-,
