"Table 235.20. Revenues for public elementary and secondary schools, by source of funds and state or jurisdiction: 2014-15   ",,,,,,,,,,,,
[In current dollars],,,,,,,,,,,,
State or jurisdiction,Total (in thousands),Federal,,,State,,Local (including intermediate sources below the state level),,,,,
,,Amount (in thousands),Per pupil,Per- cent of total,Amount (in thousands),Per- cent of total,Amount (in thou- sands)\1\,Per- cent of total,Property taxes,,Private\2\,
,,,,,,,,,Amount (in thousands),Percent of total,Amount (in thousands),Percent of total
1 ,2,3,4,5,6,7,8,9,10,11,12,13
   United States ........,"$647,679,130","$55,002,853","$1,094",8.5,"$301,529,692",46.6,"$291,146,585",45.0,"$235,870,943",36.4,"$11,297,396",1.7
Alabama ....................,"7,435,758","835,012","1,122",11.2,"4,129,101",55.5,"2,471,644",33.2,"1,139,422",15.3,"321,075",4.3
Alaska ..................,"2,935,538","347,699","2,651",11.8,"2,037,616",69.4,"550,223",18.7,"310,187",10.6,"18,911",0.6
Arizona .....................,"9,860,167","1,277,021","1,158",13.0,"4,345,427",44.1,"4,237,720",43.0,"3,054,362",31.0,"239,246",2.4
Arkansas ..................,"5,283,244","608,559","1,240",11.5,"2,720,257",51.5,"1,954,428",37.0,"1,697,032",32.1,"151,216",2.9
California .................,"74,395,627","7,148,875","1,133",9.6,"42,525,283",57.2,"24,721,469",33.2,"19,770,000",26.6,"382,733",0.5
,,,,, ,,,,,,,
Colorado ....................,"9,764,525","723,032",813,7.4,"4,452,824",45.6,"4,588,670",47.0,"3,733,665",38.2,"368,183",3.8
Connecticut ...............,"11,376,740","480,791",886,4.2,"4,661,930",41.0,"6,234,018",54.8,"6,078,199",53.4,"94,969",0.8
Delaware ..................,"2,077,887","181,122","1,351",8.7,"1,199,264",57.7,"697,501",33.6,"568,393",27.4,"14,993",0.7
District of Columbia ........,"2,251,430","218,044","2,693",9.7,†,†,"2,033,386",90.3,"653,709",29.0,"8,130",0.4
Florida ..................,"26,789,374","3,192,508","1,158",11.9,"10,661,588",39.8,"12,935,279",48.3,"10,758,297",40.2,"918,875",3.4
,,,,,,,,,,,,
Georgia .................,"18,772,155","1,888,388","1,083",10.1,"8,485,440",45.2,"8,398,327",44.7,"5,480,154",29.2,"440,485",2.3
Hawaii .....................,"2,699,827","259,391","1,422",9.6,"2,381,547",88.2,"58,888",2.2,0,0.0,"27,995",1.0
Idaho ........................,"2,294,497","246,320",847,10.7,"1,491,161",65.0,"557,016",24.3,"470,586",20.5,"33,566",1.5
Illinois .................,"27,304,004","2,264,000","1,105",8.3,"6,787,531",24.9,"18,252,473",66.8,"16,041,766",58.8,"460,786",1.7
Indiana .....................,"12,103,344","988,205",945,8.2,"6,787,225",56.1,"4,327,914",35.8,"2,928,168",24.2,"318,276",2.6
,,,,,,,,,,,,
Iowa ........................,"6,463,514","475,848",942,7.4,"3,460,804",53.5,"2,526,863",39.1,"2,048,526",31.7,"143,272",2.2
