Extraction Date:,5/31/2017,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2015,Alabama,Special Education Paraprofessionals for Ages 3-5,297.42,53,350.42,-,-,-
2015,Alabama,Special Education Paraprofessionals for Ages 6-21,3986.59,491,4477.59,-,-,-
2015,Alabama,Total Special Education Paraprofessionals,4284.01,544,4828.01,-,-,-
2015,Alabama,Special Education Teachers for Ages 3-5,311.37,19,330.37,-,-,-
2015,Alabama,Special Education Teachers for Ages 6-21,4754.65,180,4934.65,-,-,-
2015,Alabama,Total Special Education Teachers,5066.02,199,5265.02,-,-,-
2015,Alabama,Audiologists,-,-,-,8.79,0,8.79
2015,Alabama,Counselors and Rehabilitation Counselors,-,-,-,334.49,0,334.49
2015,Alabama,Interpreters,-,-,-,83.71,0,83.71
2015,Alabama,Medical / Nursing Service Staff,-,-,-,694.09,0,694.09
2015,Alabama,Occupational Therapists,-,-,-,158.91,0,158.91
2015,Alabama,Orientation and Mobility Specialists,-,-,-,18.06,0,18.06
2015,Alabama,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,326.43,0,326.43
2015,Alabama,Physical Therapists,-,-,-,90.87,0,90.87
2015,Alabama,Psychologists,-,-,-,136.65,0,136.65
2015,Alabama,Social Workers,-,-,-,83.87,0,83.87
2015,Alabama,Speech-Language Pathologists,-,-,-,815.06,0,815.06
2015,Alaska,Special Education Paraprofessionals for Ages 3-5,135.31,13.21,148.52,-,-,-
2015,Alaska,Special Education Paraprofessionals for Ages 6-21,1360.23,81.22,1441.45,-,-,-
2015,Alaska,Total Special Education Paraprofessionals ,1495.54,94.43,1589.97,-,-,-
2015,Alaska,Special Education Teachers for Ages 3-5,63.69,18.93,82.62,-,-,-
2015,Alaska,Special Education Teachers for Ages 6-21,939.02,118.67,1057.69,-,-,-
2015,Alaska,Total Special Education Teachers,1002.71,137.6,1140.31,-,-,-
2015,Alaska,Audiologists,-,-,-,4.9,3,7.9
2015,Alaska,Counselors and Rehabilitation Counselors,-,-,-,1,1,2
2015,Alaska,Interpreters,-,-,-,15.83,0,15.83
2015,Alaska,Medical / Nursing Service Staff,-,-,-,12.75,0,12.75
2015,Alaska,Occupational Therapists,-,-,-,40.65,0,40.65
2015,Alaska,Orientation and Mobility Specialists,-,-,-,9.6,0,9.6
2015,Alaska,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,9.1,2.67,11.77
2015,Alaska,Physical Therapists,-,-,-,17.7,0,17.7
2015,Alaska,Psychologists,-,-,-,76.09,0,76.09
2015,Alaska,Social Workers,-,-,-,0,0,0
2015,Alaska,Speech-Language Pathologists,-,-,-,138.55,0,138.55
2015,American Samoa,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2015,American Samoa,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-
2015,American Samoa,Total Special Education Paraprofessionals ,0,0,0,-,-,-
2015,American Samoa,Special Education Teachers for Ages 3-5,3,13,16,-,-,-
2015,American Samoa,Special Education Teachers for Ages 6-21,69,93,162,-,-,-
2015,American Samoa,Total Special Education Teachers,72,106,178,-,-,-
2015,American Samoa,Audiologists,-,-,-,0,0,0
2015,American Samoa,Counselors and Rehabilitation Counselors,-,-,-,1,1,2
2015,American Samoa,Interpreters,-,-,-,-,-,-
2015,American Samoa,Medical / Nursing Service Staff,-,-,-,-,-,-
2015,American Samoa,Occupational Therapists,-,-,-,0,0,0
2015,American Samoa,Orientation and Mobility Specialists,-,-,-,4,0,4
2015,American Samoa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2015,American Samoa,Physical Therapists,-,-,-,1,1,2
2015,American Samoa,Psychologists,-,-,-,9,0,9
2015,American Samoa,Social Workers,-,-,-,0,0,0
2015,American Samoa,Speech-Language Pathologists,-,-,-,1,0,1
2015,Arizona,Special Education Paraprofessionals for Ages 3-5,1017.84,168.77,1186.61,-,-,-
2015,Arizona,Special Education Paraprofessionals for Ages 6-21,7422.46,995.3,8417.76,-,-,-
2015,Arizona,Total Special Education Paraprofessionals ,8440.3,1164.07,9604.37,-,-,-
2015,Arizona,Special Education Teachers for Ages 3-5,716.15,41.66,757.81,-,-,-
2015,Arizona,Special Education Teachers for Ages 6-21,5973.21,248.44,6221.65,-,-,-
2015,Arizona,Total Special Education Teachers,6689.36,290.1,6979.46,-,-,-
2015,Arizona,Audiologists,-,-,-,40.13,2.55,42.68
2015,Arizona,Counselors and Rehabilitation Counselors,-,-,-,372.81,18.92,391.73
2015,Arizona,Interpreters,-,-,-,175.65,33.8,209.45
2015,Arizona,Medical / Nursing Service Staff,-,-,-,670.23,48.3,718.53
2015,Arizona,Occupational Therapists,-,-,-,431.89,18.15,450.04
2015,Arizona,Orientation and Mobility Specialists,-,-,-,44.77,2,46.77
2015,Arizona,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,332.61,21.45,354.06
2015,Arizona,Physical Therapists,-,-,-,170.37,1.55,171.92
2015,Arizona,Psychologists,-,-,-,1017.24,17.51,1034.75
2015,Arizona,Social Workers,-,-,-,177.37,6,183.37
2015,Arizona,Speech-Language Pathologists,-,-,-,1427.51,58.9,1486.41
