,2000,2000,,2016,2016,,
,Child,Below,,Child,Below,,2000-2016
County,Population,Poverty,Percentage,Population,Poverty,Percentage,Change
Adair,"1,836",202,11.00%,"1,487",229,15.40%,40.00%
Adams,"1,000",148,14.80%,795,175,22.00%,48.70%
Allamakee,"3,474",469,13.50%,"3,089",593,19.20%,42.20%
Appanoose,"3,071",565,18.40%,"2,713",719,26.50%,44.00%
Audubon,"1,661",211,12.70%,"1,120",196,17.50%,37.80%
Benton,"6,658",506,7.60%,"5,933",534,9.00%,18.40%
Black Hawk,"28,412","3,722",13.10%,"28,082","5,167",18.40%,40.50%
Boone,"6,124",545,8.90%,"5,492",659,12.00%,34.80%
Bremer,"5,298",302,5.70%,"5,358",359,6.70%,17.50%
Buchanan,"5,667",816,14.40%,"5,399",772,14.30%,-0.70%
Buena Vista,"4,854",597,12.30%,"5,023",869,17.30%,40.70%
Butler,"3,529",360,10.20%,"3,323",432,13.00%,27.40%
Calhoun,"2,356",311,13.20%,"2,073",340,16.40%,24.20%
Carroll,"5,483",488,8.90%,"4,836",532,11.00%,23.60%
Cass,"3,290",454,13.80%,"2,947",554,18.80%,36.20%
Cedar,"4,397",299,6.80%,"4,088",372,9.10%,33.80%
Cerro Gordo,"10,420","1,042",10.00%,"8,732","1,336",15.30%,53.00%
Cherokee,"2,963",323,10.90%,"2,336",341,14.60%,33.90%
Chickasaw,"3,280",351,10.70%,"2,781",406,14.60%,36.40%
Clarke,"2,261",321,14.20%,"2,311",416,18.00%,26.80%
Clay,"4,052",389,9.60%,"3,635",458,12.60%,31.20%
Clayton,"4,408",551,12.50%,"3,757",556,14.80%,18.40%
Clinton,"12,234","1,566",12.80%,"10,568","1,934",18.30%,43.00%
Crawford,"4,201",605,14.40%,"4,189",708,16.90%,17.40%
Dallas,"11,508",702,6.10%,"23,527","1,294",5.50%,-9.80%
Davis,"2,255",451,20.00%,"2,523",550,21.80%,9.00%
Decatur,"1,856",336,18.10%,"1,737",488,28.10%,55.20%
Delaware,"5,000",505,10.10%,"4,030",536,13.30%,31.70%
Des Moines,"9,832","1,465",14.90%,"8,750","2,030",23.20%,55.70%
Dickinson,"3,430",295,8.60%,"3,260",313,9.60%,11.60%
Dubuque,"21,886","1,926",8.80%,"21,931","2,873",13.10%,48.90%
Emmet,"2,341",316,13.50%,"1,946",327,16.80%,24.50%
Fayette,"5,150",685,13.30%,"4,110",744,18.10%,36.10%
Floyd,"3,957",546,13.80%,"3,579",637,17.80%,29.00%
Franklin,"2,455",243,9.90%,"2,317",417,18.00%,81.80%
Fremont,"1,872",234,12.50%,"1,490",234,15.70%,25.60%
Greene,"2,492",309,12.40%,"2,018",339,16.80%,35.50%
Grundy,"2,984",191,6.40%,"2,831",235,8.30%,29.70%
Guthrie,"2,533",309,12.20%,"2,349",296,12.60%,3.30%
Hamilton,"3,957",364,9.20%,"3,397",462,13.60%,47.80%
Hancock,"3,049",247,8.10%,"2,391",275,11.50%,42.00%
Hardin,"4,188",490,11.70%,"3,354",550,16.40%,40.20%
Harrison,"3,895",370,9.50%,"3,172",479,15.10%,59.00%
Henry,"4,842",489,10.10%,"4,222",760,18.00%,78.20%
Howard,"2,468",274,11.10%,"2,266",324,14.30%,28.80%
Humboldt,"2,440",283,11.60%,"2,130",294,13.80%,19.00%
Ida,"1,851",211,11.40%,"1,620",209,12.90%,13.20%
Iowa,"4,000",244,6.10%,"3,651",303,8.30%,36.10%
Jackson,"5,030",664,13.20%,"4,196",751,17.90%,35.60%
