,2000,2000,,2016,2016,,
,Total,Food,,Total,Food,,2000-2016
County,Population,Assistance,Percentage,Population,Assistance,Percentage,Change
Adair,"8,243",282,3.40%,"7,092",763,10.80%,214.50%
Adams,"4,482",216,4.80%,"3,693",407,11.00%,128.70%
Allamakee,"14,675",366,2.50%,"13,884","1,472",10.60%,325.10%
Appanoose,"13,721","1,297",9.50%,"12,462","2,075",16.70%,76.10%
Audubon,"6,830",205,3.00%,"5,678",523,9.20%,206.90%
Benton,"25,308",622,2.50%,"25,699","2,046",8.00%,223.90%
Black Hawk,"128,012","8,778",6.90%,"132,904","19,933",15.00%,118.70%
Boone,"26,224",773,2.90%,"26,532","2,456",9.30%,214.00%
Bremer,"23,325",501,2.10%,"24,798","1,366",5.50%,156.50%
Buchanan,"21,093",674,3.20%,"20,992","1,707",8.10%,154.50%
Buena Vista,"20,411",740,3.60%,"20,332","2,666",13.10%,261.70%
Butler,"15,305",406,2.70%,"14,791","1,305",8.80%,232.60%
Calhoun,"11,115",440,4.00%,"9,846",945,9.60%,142.50%
Carroll,"21,421",632,3.00%,"20,437","1,795",8.80%,197.70%
Cass,"14,684",589,4.00%,"13,157","1,790",13.60%,239.20%
Cedar,"18,187",467,2.60%,"18,454","1,266",6.90%,167.20%
Cerro Gordo,"46,447","2,026",4.40%,"43,070","5,370",12.50%,185.80%
Cherokee,"13,035",367,2.80%,"11,508","1,049",9.10%,223.80%
Chickasaw,"13,095",396,3.00%,"12,023",980,8.20%,169.50%
Clarke,"9,133",528,5.80%,"9,309","1,420",15.30%,163.90%
Clay,"17,372",613,3.50%,"16,333","1,729",10.60%,200.00%
Clayton,"18,678",420,2.20%,"17,590","1,344",7.60%,239.80%
Clinton,"50,149","3,251",6.50%,"47,309","8,152",17.20%,165.80%
Crawford,"16,942",723,4.30%,"16,940","1,979",11.70%,173.80%
Dallas,"40,750",798,2.00%,"84,516","3,817",4.50%,130.60%
Davis,"8,541",301,3.50%,"8,860",745,8.40%,138.60%
Decatur,"8,689",621,7.10%,"8,141","1,238",15.20%,112.80%
Delaware,"18,404",572,3.10%,"17,327","1,323",7.60%,145.70%
Des Moines,"42,351","2,905",6.90%,"39,739","7,240",18.20%,165.60%
Dickinson,"16,424",455,2.80%,"17,243","1,254",7.30%,162.50%
Dubuque,"89,143","3,054",3.40%,"97,003","10,798",11.10%,224.90%
Emmet,"11,027",392,3.60%,"9,658","1,103",11.40%,221.30%
Fayette,"22,008","1,150",5.20%,"20,054","2,660",13.30%,153.80%
Floyd,"16,900",822,4.90%,"15,873","2,041",12.90%,164.40%
Franklin,"10,704",323,3.00%,"10,170","1,096",10.80%,257.10%
Fremont,"8,010",463,5.80%,"6,950",971,14.00%,141.70%
Greene,"10,366",501,4.80%,"9,011","1,244",13.80%,185.60%
Grundy,"12,369",191,1.50%,"12,313",682,5.50%,258.70%
Guthrie,"11,353",431,3.80%,"10,625","1,046",9.80%,159.30%
Hamilton,"16,438",516,3.10%,"15,076","1,505",10.00%,218.00%
Hancock,"12,100",285,2.40%,"10,835",791,7.30%,209.90%
Hardin,"18,812",667,3.50%,"17,226","2,025",11.80%,231.60%
Harrison,"15,666",726,4.60%,"14,149","1,555",11.00%,137.20%
Henry,"20,336",791,3.90%,"19,773","2,553",12.90%,231.90%
Howard,"9,932",293,3.00%,"9,332",768,8.20%,179.00%
Humboldt,"10,381",333,3.20%,"9,487",832,8.80%,173.40%
Ida,"7,837",240,3.10%,"6,985",636,9.10%,197.30%
Iowa,"15,671",287,1.80%,"16,311","1,016",6.20%,240.10%
Jackson,"20,296",812,4.00%,"19,472","2,215",11.40%,184.30%
Jasper,"37,213","1,070",2.90%,"36,708","4,259",11.60%,303.50%
Jefferson,"16,181",862,5.30%,"18,090","2,141",11.80%,122.20%
Johnson,"111,006","2,707",2.40%,"146,547","10,868",7.40%,204.10%
