,2000,2000,,2016,2016,,
,,Free/Red.,,,Free/Red.,,2000-2016
County,Enrollment,Eligible,Percentage,Enrollment,Eligible,Percentage,Change
,,,,,,,
Adair,"1,112",389,35.00%,703,350,49.80%,42.30%
Adams,744,256,34.40%,418,200,47.80%,39.10%
Allamakee,"2,641",816,30.90%,"2,134","1,251",58.60%,89.70%
Appanoose,"2,316","1,022",44.10%,"1,887",893,47.30%,7.20%
Audubon,"1,142",312,27.30%,525,192,36.60%,33.90%
Benton,"4,239",846,20.00%,"3,441","1,051",30.50%,53.00%
Black Hawk,"17,614","6,290",35.70%,"18,028","9,055",50.20%,40.70%
Boone,"4,186",904,21.60%,"3,577","1,387",38.80%,79.60%
Bremer,"5,082",796,15.70%,"5,833","1,410",24.20%,54.30%
Buchanan,"3,201",759,23.70%,"2,857",800,28.00%,18.10%
Buena Vista,"3,897","1,413",36.30%,"4,057","2,616",64.50%,77.80%
Butler,"2,123",466,22.00%,"1,782",567,31.80%,45.00%
Calhoun,"2,470",682,27.60%,"1,598",561,35.10%,27.10%
Carroll,"3,362",856,25.50%,"2,371",914,38.50%,51.40%
Cass,"2,986",885,29.60%,"2,832","1,264",44.60%,50.60%
Cedar,"3,663",664,18.10%,"3,149",858,27.20%,50.30%
Cerro Gordo,"7,046","1,862",26.40%,"5,667","2,561",45.20%,71.00%
Cherokee,"2,278",462,20.30%,"1,638",629,38.40%,89.30%
Chickasaw,"2,624",561,21.40%,995,310,31.20%,45.70%
Clarke,"1,876",723,38.50%,"1,673","1,005",60.10%,55.90%
Clay,"2,851",670,23.50%,"2,213",941,42.50%,80.90%
Clayton,"3,526","1,033",29.30%,"2,075",732,35.30%,20.40%
Clinton,"8,745","2,386",27.30%,"7,494","3,499",46.70%,71.10%
Crawford,"2,659","1,035",38.90%,"3,411","2,109",61.80%,58.80%
Dallas,"8,338","1,512",18.10%,"17,106","3,996",23.40%,28.80%
Davis,"1,214",344,28.30%,"1,217",453,37.20%,31.40%
Decatur,"1,598",673,42.10%,"1,014",627,61.80%,46.80%
