,2000,2000,,2012-16,2012-16,,
,Families,Single,,Families,Single,,2000-2012-16
County,With Children,Parent,Percentage,With Children,Parent,Percentage,Change
Adair,"1,022",220,21.50%,759,272,35.80%,66.50%
Adams,543,104,19.20%,435,94,21.60%,12.80%
Allamakee,"1,798",363,20.20%,"1,550",288,18.60%,-8.00%
Appanoose,"1,735",497,28.60%,"1,211",318,26.30%,-8.30%
Audubon,857,158,18.40%,650,184,28.30%,53.50%
Benton,"3,511",671,19.10%,"3,120",732,23.50%,22.80%
Black Hawk,"15,515","4,859",31.30%,"13,895","5,001",36.00%,14.90%
Boone,"3,354",746,22.20%,"2,785",804,28.90%,29.80%
Bremer,"2,897",552,19.10%,"2,519",513,20.40%,6.90%
Buchanan,"2,817",597,21.20%,"2,480",567,22.90%,7.90%
Buena Vista,"2,480",572,23.10%,"2,664",932,35.00%,51.70%
Butler,"1,964",386,19.70%,"1,695",355,20.90%,6.60%
Calhoun,"1,293",270,20.90%,"1,050",368,35.00%,67.80%
Carroll,"2,845",566,19.90%,"2,378",732,30.80%,54.70%
Cass,"1,838",463,25.20%,"1,589",547,34.40%,36.70%
Cedar,"2,452",507,20.70%,"2,233",533,23.90%,15.40%
Cerro Gordo,"5,836","1,623",27.80%,"4,739","1,683",35.50%,27.70%
Cherokee,"1,611",356,22.10%,"1,182",436,36.90%,66.90%
Chickasaw,"1,695",347,20.50%,"1,475",459,31.10%,52.00%
Clarke,"1,207",303,25.10%,"1,194",308,25.80%,2.80%
Clay,"2,279",534,23.40%,"2,025",687,33.90%,44.80%
Clayton,"2,335",486,20.80%,"1,922",619,32.20%,54.70%
Clinton,"6,691","1,849",27.60%,"5,462","2,125",38.90%,40.80%
Crawford,"2,120",486,22.90%,"2,104",564,26.80%,16.90%
Dallas,"5,978","1,256",21.00%,"11,403","2,138",18.70%,-10.80%
Davis,"1,066",182,17.10%,"1,115",310,27.80%,62.80%
Decatur,974,240,24.60%,884,281,31.80%,29.00%
Delaware,"2,570",439,17.10%,"2,109",672,31.90%,86.50%
Des Moines,"5,410","1,714",31.70%,"4,856","2,109",43.40%,37.10%
Dickinson,"1,910",436,22.80%,"1,816",545,30.00%,31.50%
Dubuque,"11,479","2,586",22.50%,"11,545","3,488",30.20%,34.10%
Emmet,"1,282",303,23.60%,"1,090",344,31.60%,33.50%
Fayette,"2,746",641,23.30%,"2,190",754,34.40%,47.50%
Floyd,"2,145",552,25.70%,"1,749",581,33.20%,29.10%
Franklin,"1,320",284,21.50%,"1,221",458,37.50%,74.30%
Fremont,"1,010",248,24.60%,783,265,33.80%,37.80%
Greene,"1,330",321,24.10%,"1,128",301,26.70%,10.60%
Grundy,"1,582",273,17.30%,"1,453",363,25.00%,44.80%
Guthrie,"1,352",312,23.10%,"1,245",373,30.00%,29.80%
Hamilton,"2,116",480,22.70%,"1,763",425,24.10%,6.30%
Hancock,"1,605",310,19.30%,"1,223",271,22.20%,14.70%
Hardin,"2,320",523,22.50%,"1,759",466,26.50%,17.50%
Harrison,"2,063",445,21.60%,"1,657",523,31.60%,46.30%
Henry,"2,584",625,24.20%,"2,324",843,36.30%,50.00%
Howard,"1,262",253,20.00%,"1,117",254,22.70%,13.40%
Humboldt,"1,317",289,21.90%,"1,129",427,37.80%,72.40%
Ida,971,178,18.30%,934,238,25.50%,39.00%
Iowa,"2,080",401,19.30%,"2,108",557,26.40%,37.10%
Jackson,"2,660",591,22.20%,"2,270",844,37.20%,67.30%
Jasper,"4,823","1,101",22.80%,"4,180","1,313",31.40%,37.60%
Jefferson,"2,138",561,26.20%,"1,595",474,29.70%,13.30%
Johnson,"11,956","2,708",22.60%,"15,134","4,109",27.20%,19.90%
Jones,"2,431",566,23.30%,"2,356",718,30.50%,30.90%
Keokuk,"1,449",302,20.80%,"1,133",269,23.70%,13.90%
,Families,Single,,Families,Single,,2000-2012-16
County,With Children,Parent,Percentage,With Children,Parent,Percentage,Change
Kossuth,"2,190",369,16.80%,"1,673",454,27.10%,61.10%
Lee,"4,870","1,464",30.10%,"4,010","1,634",40.70%,35.50%
Linn,"25,404","6,639",26.10%,"27,314","8,275",30.30%,15.90%
Louisa,"1,679",399,23.80%,"1,412",410,29.00%,22.20%
Lucas,"1,130",266,23.50%,942,283,30.00%,27.60%
Lyon,"1,568",188,12.00%,"1,532",269,17.60%,46.40%
Madison,"1,925",361,18.80%,"2,086",416,19.90%,6.30%
Mahaska,"2,980",685,23.00%,"2,704",898,33.20%,44.50%
Marion,"4,102",822,20.00%,"3,797",842,22.20%,10.70%
Marshall,"5,001","1,411",28.20%,"4,528","1,329",29.40%,4.00%
Mills,"1,948",472,24.20%,"1,745",463,26.50%,9.50%
Mitchell,"1,322",248,18.80%,"1,054",225,21.30%,13.80%
Monona,"1,189",286,24.10%,939,316,33.70%,39.90%
Monroe,"1,039",266,25.60%,877,268,30.60%,19.40%
Montgomery,"1,511",420,27.80%,"1,297",606,46.70%,68.10%
Muscatine,"5,829","1,514",26.00%,"5,294","1,857",35.10%,35.10%
O'Brien,"1,858",307,16.50%,"1,667",394,23.60%,43.00%
Osceola,897,139,15.50%,705,197,27.90%,80.30%
Page,"1,968",502,25.50%,"1,673",495,29.60%,16.00%
Palo Alto,"1,200",225,18.80%,939,243,25.90%,38.00%
Plymouth,"3,433",611,17.80%,"3,224",872,27.00%,52.00%
Pocahontas,"1,093",226,20.70%,747,211,28.20%,36.60%
Polk,"50,728","14,025",27.60%,"60,621","20,662",34.10%,23.30%
