,2000,2000,,2016,2016,,
,Age 15-19,,,Age 15-19,,,
,Female,Live,,Female,Live,,2000-2016
County,Population,Births,Percentage,Population,Births,Percentage,Change
,,,,,,,
Adair,289,8,2.80%,219,*,*,*
Adams,125,*,*,118,*,*,*
Allamakee,499,16,3.20%,400,7,1.80%,-45.40%
Appanoose,467,20,4.30%,326,12,3.70%,-14.00%
Audubon,229,8,3.50%,202,*,*,*
Benton,869,29,3.30%,786,10,1.30%,-61.90%
Black Hawk,"5,797",187,3.20%,"5,182",71,1.40%,-57.50%
Boone,880,19,2.20%,871,12,1.40%,-36.20%
Bremer,"1,136",16,1.40%,"1,086",*,*,*
Buchanan,825,28,3.40%,631,7,1.10%,-67.30%
Buena Vista,838,33,3.90%,701,19,2.70%,-31.20%
Butler,503,13,2.60%,420,6,1.40%,-44.70%
Calhoun,407,8,2.00%,255,6,2.40%,19.70%
Carroll,792,15,1.90%,638,8,1.30%,-33.80%
Cass,511,17,3.30%,361,8,2.20%,-33.40%
Cedar,665,15,2.30%,565,6,1.10%,-52.90%
Cerro Gordo,"1,625",57,3.50%,"1,295",21,1.60%,-53.80%
Cherokee,446,14,3.10%,289,6,2.10%,-33.90%
Chickasaw,466,14,3.00%,358,*,*,*
Clarke,331,18,5.40%,247,10,4.00%,-25.60%
Clay,596,20,3.40%,464,*,*,*
Clayton,669,18,2.70%,505,*,*,*
Clinton,"1,816",73,4.00%,"1,456",46,3.20%,-21.40%
Crawford,688,25,3.60%,576,23,4.00%,9.90%
Dallas,"1,316",32,2.40%,"2,194",25,1.10%,-53.10%
Davis,306,13,4.20%,289,*,*,*
Decatur,461,15,3.30%,382,*,*,*
Delaware,730,16,2.20%,634,*,*,*
Des Moines,"1,532",79,5.20%,"1,168",35,3.00%,-41.90%
Dickinson,487,15,3.10%,380,*,*,*
Dubuque,"3,563",91,2.60%,"3,392",59,1.70%,-31.90%
Emmet,517,18,3.50%,426,*,*,*
Fayette,830,19,2.30%,744,13,1.70%,-23.70%
Floyd,579,16,2.80%,488,*,*,*
Franklin,409,12,2.90%,283,14,4.90%,68.60%
Fremont,267,*,*,192,6,3.10%,*
Greene,358,14,3.90%,280,*,*,*
Grundy,420,7,1.70%,391,*,*,*
Guthrie,369,11,3.00%,320,*,*,*
Hamilton,537,19,3.50%,432,11,2.50%,-28.00%
Hancock,454,10,2.20%,323,9,2.80%,26.50%
Hardin,729,22,3.00%,529,6,1.10%,-62.40%
Harrison,539,17,3.20%,454,6,1.30%,-58.10%
Henry,711,30,4.20%,661,14,2.10%,-49.80%
Howard,384,6,1.60%,279,*,*,*
Humboldt,407,7,1.70%,264,*,*,*
Ida,294,6,2.00%,196,*,*,*
Iowa,544,18,3.30%,580,*,*,*
Jackson,705,26,3.70%,578,*,*,*
Jasper,"1,187",45,3.80%,"1,006",13,1.30%,-65.90%
Jefferson,574,13,2.30%,452,7,1.50%,-31.60%
Johnson,"5,796",70,1.20%,"6,229",41,0.70%,-45.50%
Jones,698,18,2.60%,610,8,1.30%,-49.10%
Keokuk,399,15,3.80%,320,6,1.90%,-50.10%
,Age 15-19,,,Age 15-19,,,
,Female,Live,,Female,Live,,2000-2016
County,Population,Births,Percentage,Population,Births,Percentage,Change
Kossuth,669,13,1.90%,486,*,*,*
Lee,"1,267",50,3.90%,"1,061",37,3.50%,-11.60%
Linn,"6,878",209,3.00%,"6,965",113,1.60%,-46.60%
Louisa,404,14,3.50%,404,11,2.70%,-21.40%
Lucas,325,16,4.90%,297,7,2.40%,-52.10%
Lyon,414,11,2.70%,351,*,*,*
Madison,464,14,3.00%,524,*,*,*
Mahaska,827,37,4.50%,769,13,1.70%,-62.20%
Marion,"1,275",29,2.30%,"1,238",20,1.60%,-29.00%
Marshall,"1,340",80,6.00%,"1,194",41,3.40%,-42.50%
Mills,527,18,3.40%,515,6,1.20%,-65.90%
