,2000,2000,,2016,2016,,
,,Teen,,,Teen,,
,Live,Unmarried,,Live,Unmarried,,2000-2016
County,Births,Births,Percentage,Births,Births,Percentage,Change
,,,,,,,
Adair,68,6,8.80%,77,*,*,*
Adams,35,*,*,38,*,*,*
Allamakee,158,13,8.20%,198,*,*,*
Appanoose,142,11,7.70%,155,9,5.80%,-25.00%
Audubon,47,7,14.90%,54,*,*,*
Benton,325,21,6.50%,316,10,3.20%,-51.00%
Black Hawk,"1,551",175,11.30%,"1,669",64,3.80%,-66.00%
Boone,317,15,4.70%,301,8,2.70%,-43.80%
Bremer,250,15,6.00%,251,*,*,*
Buchanan,301,23,7.60%,296,6,2.00%,-73.50%
Buena Vista,233,29,12.40%,315,17,5.40%,-56.60%
Butler,170,10,5.90%,138,*,*,*
Calhoun,107,6,5.60%,111,*,*,*
Carroll,262,12,4.60%,265,8,3.00%,-34.10%
Cass,158,12,7.60%,135,7,5.20%,-31.70%
Cedar,206,12,5.80%,167,*,*,*
Cerro Gordo,530,50,9.40%,448,19,4.20%,-55.00%
Cherokee,146,13,8.90%,127,6,4.70%,-46.90%
Chickasaw,169,13,7.70%,143,*,*,*
Clarke,97,14,14.40%,120,10,8.30%,-42.30%
Clay,204,17,8.30%,183,*,*,*
Clayton,194,15,7.70%,172,*,*,*
Clinton,591,63,10.70%,576,43,7.50%,-30.00%
Crawford,189,22,11.60%,254,17,6.70%,-42.50%
Dallas,566,27,4.80%,"1,269",23,1.80%,-62.00%
Davis,129,9,7.00%,183,*,*,*
Decatur,101,8,7.90%,92,*,*,*
Delaware,227,12,5.30%,190,*,*,*
Des Moines,555,71,12.80%,430,32,7.40%,-41.80%
Dickinson,159,13,8.20%,149,*,*,*
Dubuque,"1,221",83,6.80%,"1,196",60,5.00%,-26.20%
Emmet,126,15,11.90%,123,*,*,*
Fayette,233,19,8.20%,212,13,6.10%,-24.80%
Floyd,199,11,5.50%,188,*,*,*
Franklin,113,12,10.60%,123,12,9.80%,-8.10%
Fremont,82,*,*,79,*,*,*
Greene,92,11,12.00%,117,*,*,*
Grundy,133,6,4.50%,135,*,*,*
Guthrie,134,10,7.50%,100,*,*,*
Hamilton,192,17,8.90%,203,11,5.40%,-38.80%
Hancock,131,9,6.90%,118,9,7.60%,11.00%
Hardin,208,19,9.10%,168,6,3.60%,-60.90%
Harrison,193,15,7.80%,170,*,*,*
Henry,264,23,8.70%,235,12,5.10%,-41.40%
Howard,110,6,5.50%,104,*,*,*
Humboldt,99,6,6.10%,114,*,*,*
Ida,70,*,*,78,*,*,*
Iowa,183,17,9.30%,179,*,*,*
Jackson,239,22,9.20%,217,*,*,*
Jasper,458,33,7.20%,429,13,3.00%,-57.90%
Jefferson,145,10,6.90%,144,6,4.20%,-39.60%
Johnson,"1,382",55,4.00%,"1,856",37,2.00%,-49.90%
Jones,227,14,6.20%,203,7,3.40%,-44.10%
Keokuk,154,14,9.10%,111,*,*,*
,,Teen,,,Teen,,
,Live,Unmarried,,Live,Unmarried,,2000-2016
County,Births,Births,Percentage,Births,Births,Percentage,Change
Kossuth,166,10,6.00%,176,*,*,*
Lee,410,42,10.20%,423,35,8.30%,-19.20%
Linn,"2,715",180,6.60%,"2,790",108,3.90%,-41.60%
Louisa,164,7,4.30%,141,9,6.40%,49.50%
Lucas,119,10,8.40%,101,7,6.90%,-17.50%
Lyon,159,6,3.80%,168,*,*,*
Madison,196,10,5.10%,171,*,*,*
Mahaska,283,31,11.00%,258,10,3.90%,-64.60%
Marion,383,23,6.00%,409,18,4.40%,-26.70%
Marshall,556,73,13.10%,536,33,6.20%,-53.10%
Mills,155,15,9.70%,142,6,4.20%,-56.30%
Mitchell,131,*,*,102,*,*,*
Monona,98,13,13.30%,101,*,*,*
Monroe,102,8,7.80%,87,*,*,*
Montgomery,139,7,5.00%,130,*,*,*
Muscatine,638,80,12.50%,539,22,4.10%,-67.40%
O'Brien,187,16,8.60%,168,10,6.00%,-30.40%
Osceola,73,*,*,80,*,*,*
Page,169,17,10.10%,162,13,8.00%,-20.20%
Palo Alto,110,13,11.80%,105,*,*,*
Plymouth,309,26,8.40%,280,8,2.90%,-66.00%
Pocahontas,73,*,*,79,*,*,*
Polk,"6,216",517,8.30%,"6,914",288,4.20%,-49.90%
Pottawattamie,"1,184",140,11.80%,"1,199",75,6.30%,-47.10%
Poweshiek,212,19,9.00%,164,*,*,*
Ringgold,69,*,*,71,*,*,*
Sac,135,6,4.40%,111,*,*,*
Scott,"2,348",258,11.00%,"2,199",126,5.70%,-47.90%
Shelby,150,12,8.00%,109,*,*,*
Sioux,457,22,4.80%,487,21,4.30%,-10.40%
Story,940,32,3.40%,944,15,1.60%,-53.30%
Tama,251,24,9.60%,191,12,6.30%,-34.30%
Taylor,87,8,9.20%,73,*,*,*
Union,127,8,6.30%,146,7,4.80%,-23.90%
Van Buren,97,11,11.30%,97,6,6.20%,-45.50%
Wapello,424,56,13.20%,443,31,7.00%,-47.00%
Warren,513,37,7.20%,589,18,3.10%,-57.60%
Washington,290,13,4.50%,297,8,2.70%,-39.90%
Wayne,79,*,*,104,*,*,*
Webster,492,51,10.40%,436,30,6.90%,-33.60%
Winnebago,134,13,9.70%,112,*,*,*
Winneshiek,191,13,6.80%,178,*,*,*
Woodbury,"1,692",181,10.70%,"1,536",88,5.70%,-46.40%
Worth,84,6,7.10%,83,*,*,*
Wright,168,12,7.10%,168,11,6.50%,-8.30%
,,,,,,,
State,"38,250","3,201",8.40%,"39,223","1,631",4.20%,-50.30%
Rural,"5,454",419,7.70%,"5,212",196,3.80%,-51.00%
Small Urban,"13,547","1,161",8.60%,"13,708",574,4.20%,-51.10%
Metropolitan,"19,249","1,621",8.40%,"20,303",861,4.20%,-49.60%
,,,,,,,
United States,"4,055,507","377,675",9.30%,"3,978,497","206,532",5.20%,-44.30%
