File Name,TItle,Description,Category,Level,Source Organization,Dates,Source URL,Attachment
1869-2028_National_Rates_HighSchool_Graduates,"High school graduates, by sex and whether private or public school",High school graduates by sex. The data after 2012-13 is estimated by the National Center for Education Statistics,Education ,National ,National Center for Education Statistics ,1869-2028,https://nces.ed.gov/programs/digest/d17/tables/dt17_219.10.asp,1869-2028_National_Rates_Public_HighSchool_Graduates.csv (https://dl.airtable.com/.attachments/15a40c4aff064837d85ac24a2a8e5201/dcc33093/1869-2028_National_Rates_Public_HighSchool_Graduates.csv)
1869-2028_National_Rates_Public_HighSchool_Graduates,Public high school graduates in the years 1869-2028,"Public high school graduates, by region, state, and jurisdiction. Data after 2012-13 is estimated by the National Center for Education Statistics",Education ,National ,National Center for Education Statistics ,1869-2028,https://nces.ed.gov/programs/digest/d17/tables/dt17_219.20.asp,1869-2028_National_Rates_Public_HighSchool_Graduates.csv (https://dl.airtable.com/.attachments/0c67987212ce7aaa8a1f5bee0b720a5a/33d8f068/1869-2028_National_Rates_Public_HighSchool_Graduates.csv)
1919-2015_National_Measures_Public_Schools_Revenue,"Revenues for public elementary and secondary schools, by source of funds","Sources of revenue include federal, state, and local funds",Education ,National ,National Center for Education Statistics ,1919-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_235.10.asp,1919-2015_National_Measures_Public_Schools_Revenue.csv (https://dl.airtable.com/.attachments/9f7f1e5109d8ef37d3e953a8bcae8001/f95f1fb7/1919-2015_National_Measures_Public_Schools_Revenue.csv)
1969-2017_National_Measures_Elementary_Secondary_Teacher_Salary,Estimated annual salary of elementary and secondary teachers ,"Estimated average annual salary of teachers in public elementary and secondary schools, by state: Selected years, 1969-70 through 2016-17",Education ,National ,National Center for Education Statistics ,1969-2017,https://nces.ed.gov/programs/digest/d17/tables/dt17_211.60.asp,
1985-2016_National_Rates_Drugs_Alcohol_Tobacco,"Percentage of students who reported use of illicit drugs, alcohol, and cigarettes ","Percentage of 12- to 17-year-olds reporting use of illicit drugs, alcohol, and cigarettes during the past 30 days and the past year, by substance used, sex, and race/ethnicity",Drugs and Alcohol ,National ,National Center for Education Statistics ,1985-2016,https://nces.ed.gov/programs/digest/d17/tables/dt17_232.95.asp?current=yes,1985-2016_National_Rates_Drugs_Alcohol_Tobacco.csv (https://dl.airtable.com/.attachments/932824d4c64331915200d37099b9ee74/a6e628ad/1985-2016_National_Rates_Drugs_Alcohol_Tobacco.csv)
1993-2015_National_Measures_Reported_Threat_Injury,Percentage of students who reported being threatened or injured on school property,"Percentage of students in grades 9-12 who reported being threatened or injured with a weapon during the previous 12 months, by gender, race, grade, and number of times threatened or injured, 1993-2015",Violence,National ,National Center for Education Statistics ,1993-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_228.40.asp,
1993-2015_National_Rates_HighSchool_Physical_Fights,Percentage of students who reported having been in a physical fight ,"Percentage of students in grades 9-12 who reported having been in a physical fight at least one time during the previous 12 months, by location and selected student characteristics",Education ,National ,National Center for Education Statistics ,1993-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_231.10.asp?current=yes,1993-2015_National_Rates_HighSchool_Physical_Fights.csv (https://dl.airtable.com/.attachments/9b3f5900afd7dafaceba26fd1b303762/d9928091/1993-2015_National_Rates_HighSchool_Physical_Fights.csv)
1993-2015_National_Rates_HighSchool_Weapon_Carrying,Percentage of students who reported carrying a weapon ,"Percentage of students in grades 9-12 who reported carrying a weapon at least 1 day during the previous 30 days, by location and selected student characteristics",Education ,National ,National Center for Education Statistics ,1993-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_231.40.asp?current=yes,
1993-2015_National_Rates_Reported_Threat_Injury,Percentage of students who reported being threatened or injured on school property,"Percentage of students in grades 9-12 who reported being threatened or injured with a weapon during the previous 12 months, by gender, race, grade, and number of times threatened or injured, 1993-2015",Violence,National ,National Center for Education Statistics ,1993-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_228.40.asp,
1993-2015_National_Rates_Weapon_Carrying,Percentage of students who reported carrying a weapon ,"Percentage of students in grades 9-12 who reported carrying a weapon at least 1 day during the previous 30 days, by location and selected student characteristics",Education ,National ,National Center for Education Statistics ,1993-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_231.40.asp?current=yes,
