County,District,Age,Type
Adair,Nodaway Valley,"elementary,middle,high",public
Adair,Orient-Macksburg,"elementary,secondary",public
Adair,Adair-Casey,"high,junior high",public
Adams,Corning,,
Allamakee,Allamakee,"elementary,middle,high",public
Allamakee,Eastern Allamakee,,
Allamakee,Postville,"elementary,junior high,high",public
Appanoose,Centerville,"preschool,elementary,middle,high",public
Appanoose,Moravia,"elementary,middle,high",public
Appanoose,Moulton-Udell,,
Audubon,Audubon,"elementary,middle,high",public
Audubon,Exira-Elk Horn-Kimballton,"elementary,middle,high",public
Benton,Belle Plaine,"elementary,junior high,high",public
Benton,Benton,"elementary,middle,high",public
Benton,Vinton-Shellsburg,"elementary,middle,high,homeschool",public
Black Hawk,Cedar Falls,"elementary,junior high,high",public
Black Hawk,Dunkerton,"elementary,secondary",public
Black Hawk,Hudson,"preschool,elementary,middle,high",public
Black Hawk,Union,"elementary,middle,high",public
Black Hawk,Waterloo,"preschool,elementary,middle,high",public
Boone,Boone,"preschool,elementary,middle,high",public
Boone,Madrid,"elementary,junior high,high",public
Boone,Ogden,"preschool,elementary,middle,high",public
Boone,United,,public
Bremer,Denver,"preschool,elementary,middle,high",
Bremer,Janesville,"primary,secondary",public
Bremer,Sumner-Fredericksburg,"preschool,elementary,middle,high",public
Bremer,Tripoli,"elementary,middle,high",public
Bremer,Wapsie  Valley,"preschool,elementary,high",public
Bremer,Waverly-Shell Rock,"elementary,middle,high",public
Buchanan,East Buchanan,"pre-K,elementary,middle,high",public
Buchanan,Independence,"elementary,high",public
Buchanan,Jesup,"preschool,elementary,middle,high",public
Buena Vista,Albert City-Truesdale,elementary,public
Buena Vista,Alta,"elementary,middle,high",public
Buena Vista,Newell-Fonda,"middle,high",public
Buena Vista,Sioux Central,"preschool,elementary,middle,high",public
Buena Vista,Storm Lake,"early childhood center,elementary,middle,high,charter",public
Butler,Aplington-Parkersburg,"elementary,middle,high",public
Butler,Clarksville,"elementary,junior high,high",public
Butler,North Butler,"elementary,junior high,high",public
Calhoun,Manson Northwest Webster,"preschool,elementary,high",public
Calhoun,South Central Calhoun,"elementary,middle,high",public
Carroll,Carroll,"elementary,middle,high",public
Carroll,Coon Rapids-Bayard,"elementary,secondary",public
Carroll,Glidden-Ralston,"elementary,high",public
Carroll,IKM-Manning,"elementary,middle,high",public
Cass,Atlantic,"preschool,elementary,middle,high",public
Cass,CAM,"elementary,middle,high",public
Cass,Griswold,"elementary,middle,high",public
Cedar,Bennett,,
Cedar,Durant,"elementary,middle,high",public
Cedar,North Cedar,"elementary,junior high,high",
Cedar,Tipton,"preschool,elementary,middle,high",public
Cedar,West Branch,"elementary,middle,high",public
Cerro Gordo,Clear Lake,"elementary,middle,high",public
Cerro Gordo,Garner-Hayfield-Ventura,"preschool,elementary,middle,high",public
Cerro Gordo,Mason City,"elementary,middle,high",public
Cerro Gordo,West Fork,"elementary,middle,high",public
Cherokee,Aurelia,see alta-aurelia,
Cherokee,Cherokee,"elementary,middle,high",public
Cherokee,Marcus-Meriden-Cleghorn,"elementary,junior high,high",public
Chickasaw,Nashua-Plainfield,"elementary,junior high,high",public
Chickasaw,New Hampton,,
Clarke,Clarke,"preschool,elementary,middle,high",public
Clarke,Murray,"elementary,secondary",public
Clay,Clay Central-Everly,"elementary,junior high,high",public
Clay,Spencer,"elementary,high",public
Clayton,Central,,
Clayton,Clayton Ridge,"elementary,middle,high",public
Clayton,MFL MarMac,"elementary,middle,high",public
Clinton,Calamus-Wheatland,,
Clinton,Camanche,"elementary,middle,high",public
Clinton,Central DeWitt,"elementary,middle,high,intermediate",public
Clinton,Clinton,"elementary,middle,high",public
Clinton,Delwood,"preschool,elementary",public
Clinton,Northeast (Goose Lake),"elementary,middle,high",public
Crawford,Ar-We-Va,"elementary,middle,high",public
