County,District,Description,Resource Type,Attachments,Link
Scott,Davenport,"WEDNESDAY, JUNE 27, 2018 SPECIAL CAL OPEN MEETING, pages 1 and 2, a certain Dr. Tate has provided an Enhanced School Security Program that allegedly used student input",Handbook,,https://www.youtube.com/watch?v=xeDmPHD2TCc&feature=youtu.be
Harrison,West Harrison,"news article, 2018, [UPDATE] WEST HARRISON HIGH STUDENT ARRESTED FOR BRINGING LOADED FIREARM TO SCHOOL",News Article,,https://www.wxxv25.com/2018/05/22/west-harrison-high-student-arrested-bringing-loaded-firearm-school/
Woodbury,Westwood,community school website,Website,,https://www.wwrebels.org/
Bremer,Waverly-Shell Rock,Waverly-Shell Rock website,Website,,https://www.wsr.k12.ia.us/
Cass,Atlantic,"News article, 2018, Teens & parents push for school metal detectors",News Article,,https://www.wowt.com/content/news/Teens--parents-push-for-school-metal-detectors-476191343.html
Fremont,Sidney,"news article, 2018, Sidney High School student arrested for threats",News Article,,https://www.wowt.com/content/news/Sidney-High-School-student-arrested-for-threats-477585783.html
Harrison,Woodbine,community school website,Website,,https://www.woodbine.k12.ia.us/
Henry,Winfield-Mt. Union,community school website,Website,,https://www.wmucsd.org/
Lyon,West Lyon,community school website,Website,,https://www.wlwildcats.org/
Muscatine,West Liberty,community school website,Website,,https://www.wl.k12.ia.us/
Madison,Winterset,community school website,Website,,https://www.winterset.k12.ia.us/
Muscatine,Wilton,community school website,Website,,https://www.wiltoncsd.org/
Monona,Whiting,community school website,Website,,https://www.whitingcsd.org/
Sioux,West Sioux,community school website,Website,,https://www.westsiouxschools.org/
Monona,West Monona,community school website,Website,,https://www.westmonona.org/
Harrison,West Harrison,community school website,Website,,https://www.westharrison.school/
Cerro Gordo,West Fork,community school website,Website,,https://www.westforkschool.org/
Franklin,West Fork,community school website,Website,,https://www.westforkschool.org/
Cedar,West Branch,community school website,Website,,https://www.west-branch.k12.ia.us/
Louisa,Wapello,"news article, 2019, School district making their hallways safer",News Article,,https://www.weareiowa.com/news/local-news/school-district-making-their-hallways-safer/1903392133
Butler,Clarksville,"News articles, 2018, All students at Clarksville Community Schools eligible for free meals",News Article,,https://www.wdrb.com/news/education/all-students-at-clarksville-community-schools-eligible-for-free-meals/article_6221377b-1808-51c9-ab37-f6340509e172.html
Polk,West Des Moines,community school website,Website,,https://www.wdmcs.org/district/about-wdmcs/
Guthrie,West Central Valley,community school website,Website,,https://www.wcv.k12.ia.us/
Bremer,Wapsie Valley,Wapsie Valley community school website,Website,,https://www.wapsievalleyschools.com/
Louisa,Wapello,community school website,Website,,https://www.wapello.k12.ia.us/
Delaware,West Delaware,community school website,Website,,https://www.w-delaware.k12.ia.us/
Benton,Vinton Shellsburg,Vinton-Shellsburg community school district website,Website,,https://www.vscsd.org/
Dallas,Van Meter,community school website,Website,,https://www.vmbulldogs.com/
Van Buren,Van Buren,community school website,Website,,https://www.van-buren.k12.ia.us/
Boone,United,United Community school website,Website,,https://www.unitedcomets.org/
Pottawattamie,Underwood,community school website,Website,,https://www.underwoodeagles.org/
Bremer,Tripoli,Tripoli community school website,Website,,https://www.tripoli.k12.ia.us/
Keokuk,Tri-County,community school website,Website,,https://www.tri-countyschools.com/
Pottawattamie,Treynor,community school website,Website,,https://www.treynorschools.org/
Cedar,Tipton,community school website,Website,,https://www.tipton.k12.ia.us/
Des Moines,West Burlington,"News article, 2018, Burlington School Board makes ‘right-sizing’ decision",News Article,,https://www.thehawkeye.com/news/20181218/burlington-school-board-makes-right-sizing-decision
Des Moines,Burlington,"News article, 2018, Stressed out, dropped out",News Article,,https://www.thehawkeye.com/news/20181209/stressed-out-dropped-out
Des Moines,West Burlington,"News article, 2018, Stressed out, dropped out",News Article,,https://www.thehawkeye.com/news/20181209/stressed-out-dropped-out
Des Moines,Burlington,"News article, 2018, Burlington schools see enrollment drop",News Article,,https://www.thehawkeye.com/news/20181023/burlington-schools-see-enrollment-drop
Des Moines,Burlington,"News article, 2018, Police, schools partner on safety",News Article,,https://www.thehawkeye.com/news/20180909/police-schools-partner-on-safety
Des Moines,Mediapolis,"News article, 2018, Police, schools partner on safety",News Article,,https://www.thehawkeye.com/news/20180909/police-schools-partner-on-safety
Lee,Central Lee,"news article, 2018, Police, schools partner on safety",News Article,,https://www.thehawkeye.com/news/20180909/police-schools-partner-on-safety
Des Moines,Burlington,"News article, 2018, Complaint targets seclusion, restraint",News Article,,https://www.thehawkeye.com/news/20180622/complaint-targets-seclusion-restraint
Des Moines,Mediapolis,"news article, 2018, Mediapolis student facing felony gun charges",News Article,,https://www.thehawkeye.com/news/20180307/mediapolis-student-facing-felony-gun-charges
Lee,Central Lee,"news article, 2018, Central Lee High School student arrested for making gun threat",News Article,,https://www.thehawkeye.com/news/20180224/central-lee-high-school-student-arrested-for-making-gun-threat
Lee,Fort Madison,"news article, 2018, Will 3rd time be charm for FM school bond",News Article,,https://www.thehawkeye.com/news/20180207/will-3rd-time-be-charm-for-fm-school-bond
Des Moines,West Burlington,"News article, 2017, Cancer survivor Chloe Terpenning disciplined for wearing hat at school",News Article,,https://www.thehawkeye.com/news/20171211/cancer-survivor-chloe-terpenning-disciplined-for-wearing-hat-at-school
Boone,Ogden,"News article, 2018, Iowa politicians have only one idea for improving schools",News Article,,https://www.thegazette.com/subject/opinion/staff-columnist/iowa-politicians-have-only-one-idea-for-improving-schools-20181105
Linn,Linn-Mar,"news article, 2018, School shooter drills not just for staff anymore",News Article,,https://www.thegazette.com/subject/news/public-safety/school-shooter-drills-not-just-for-staff-anymore-20180422
Henry,Mount Pleasant,"news article, 2018, Why plans to protect the children in ICE raids can take a backseat to other goals",News Article,,https://www.thegazette.com/subject/news/government/why-plans-to-protect-the-children-in-ice-raids-can-take-a-backseat-to-other-goals-20180616
